,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Unknown,Xinjiang,Yunnan,Zhejiang
4/17/20,991,593,579,354,139,1577,254,146,168,328,872,1276,1021,68128,1019,193,653,937,102,146,45,75,18,256,787,628,197,560,189,1,2427,76,184,1268
4/18/20,991,593,579,355,139,1579,254,146,168,328,892,1276,1023,68128,1019,193,653,937,102,146,45,75,18,256,787,628,197,561,189,1,2472,76,184,1268
4/19/20,991,593,579,355,139,1580,254,147,168,328,898,1276,1025,68128,1019,193,653,937,104,146,45,75,18,256,787,635,197,561,189,1,2516,76,184,1268
4/20/20,991,593,579,355,139,1581,254,147,168,328,905,1276,1025,68128,1019,194,653,937,104,146,45,75,18,256,787,638,197,561,189,1,2565,76,184,1268
4/21/20,991,593,579,355,139,1582,254,147,168,328,913,1276,1029,68128,1019,194,653,937,106,146,45,75,18,277,787,638,197,561,189,1,2599,76,184,1268
4/22/20,991,593,579,355,139,1582,254,147,168,328,921,1276,1033,68128,1019,194,653,937,106,146,45,75,18,279,787,639,197,561,189,1,2640,76,184,1268
4/23/20,991,593,579,355,139,1585,254,147,168,328,928,1276,1035,68128,1019,194,653,937,108,146,45,75,18,279,787,641,197,561,189,1,2664,76,184,1268
4/24/20,991,593,579,355,139,1585,254,147,168,328,930,1276,1035,68128,1019,197,653,937,109,146,45,75,18,286,787,641,197,561,190,1,2695,76,185,1268
4/25/20,991,593,579,355,139,1586,254,147,168,328,935,1276,1037,68128,1019,198,653,937,109,146,45,75,18,286,787,642,197,561,190,1,2723,76,185,1268
4/26/20,991,593,579,355,139,1587,254,147,168,328,936,1276,1037,68128,1019,198,653,937,110,146,45,75,18,286,787,642,197,561,190,1,2749,76,185,1268
4/27/20,991,593,579,355,139,1587,254,147,168,328,939,1276,1037,68128,1019,199,653,937,110,146,45,75,18,286,787,644,197,561,190,1,2774,76,185,1268
4/28/20,991,593,579,355,139,1588,254,147,168,328,939,1276,1037,68128,1019,199,653,937,110,146,45,75,18,306,787,645,197,561,190,1,2814,76,185,1268
4/29/20,991,593,579,355,139,1588,254,147,168,328,939,1276,1037,68128,1019,200,653,937,111,146,45,75,18,306,787,647,197,561,190,1,2839,76,185,1268
4/30/20,991,593,579,356,139,1588,254,147,168,328,944,1276,1037,68128,1019,201,653,937,111,146,45,75,18,306,787,652,197,561,190,1,2872,76,185,1268
5/1/20,991,593,579,356,139,1588,254,147,168,328,944,1276,1039,68128,1019,201,653,937,112,146,45,75,18,306,787,652,197,561,190,1,2891,76,185,1268
5/2/20,991,593,579,356,139,1588,254,147,168,328,944,1276,1039,68128,1019,201,653,937,112,146,45,75,18,306,787,652,197,561,190,1,2899,76,185,1268
5/3/20,991,593,579,356,139,1588,254,147,168,328,944,1276,1039,68128,1019,201,653,937,112,146,45,75,18,306,788,655,198,561,190,1,2878,76,185,1268
5/4/20,991,593,579,356,139,1588,254,147,168,328,944,1276,1040,68128,1019,201,653,937,112,146,45,75,18,306,788,656,198,561,190,1,2872,76,185,1268
5/5/20,991,593,579,356,139,1588,254,147,168,328,944,1276,1040,68128,1019,201,653,937,112,146,45,75,18,308,788,656,198,561,190,1,2887,76,185,1268
5/6/20,991,593,579,356,139,1589,254,147,168,328,944,1276,1040,68128,1019,201,653,937,112,146,45,75,18,308,788,657,198,561,190,1,2907,76,185,1268
5/7/20,991,593,579,356,139,1589,254,147,168,328,944,1276,1044,68128,1019,201,653,937,113,146,45,75,18,308,788,657,198,561,190,1,2913,76,185,1268
5/8/20,991,593,579,356,139,1589,254,147,168,328,944,1276,1044,68128,1019,201,653,937,113,146,45,75,18,308,788,657,198,561,191,1,2929,76,185,1268
5/9/20,991,593,579,356,139,1589,254,147,168,328,944,1276,1044,68129,1019,201,653,937,124,146,45,75,18,308,788,659,198,561,191,1,2944,76,185,1268
5/10/20,991,593,579,356,139,1589,254,147,168,328,945,1276,1047,68134,1019,208,653,937,127,147,45,75,18,308,788,659,198,561,191,1,2963,76,185,1268
5/11/20,991,593,579,356,139,1589,254,147,168,328,945,1276,1047,68134,1019,209,653,937,127,147,45,75,18,308,788,659,198,561,191,1,2969,76,185,1268
5/12/20,991,593,579,356,139,1589,254,147,168,328,945,1276,1047,68134,1019,209,653,937,133,147,45,75,18,308,788,660,198,561,191,1,2984,76,185,1268
5/13/20,991,593,579,356,139,1589,254,147,168,328,945,1276,1050,68134,1019,209,653,937,134,149,45,75,18,308,788,660,198,561,191,1,2992,76,185,1268
5/14/20,991,593,579,356,139,1589,254,147,168,328,945,1276,1051,68134,1019,209,653,937,138,149,45,75,18,308,788,660,198,561,191,1,3003,76,185,1268
5/15/20,991,593,579,356,139,1589,254,147,169,328,945,1276,1052,68134,1019,209,653,937,140,149,45,75,18,308,788,665,198,561,191,1,3014,76,185,1268
5/16/20,991,593,579,356,139,1590,254,147,169,328,945,1276,1052,68134,1019,209,653,937,144,149,45,75,18,308,788,665,198,561,192,1,3026,76,185,1268
5/17/20,991,593,579,356,139,1590,254,147,169,328,945,1276,1055,68134,1019,213,653,937,146,149,45,75,18,308,788,666,198,561,192,1,3038,76,185,1268
5/18/20,991,593,579,356,139,1590,254,147,169,328,945,1276,1055,68135,1019,216,653,937,151,149,45,75,18,308,788,666,198,561,192,1,3056,76,185,1268
5/19/20,991,593,579,356,139,1590,254,147,169,328,945,1276,1055,68135,1019,216,653,937,151,149,45,75,18,308,788,666,198,561,192,1,3072,76,185,1268
5/20/20,991,593,579,356,139,1590,254,147,169,328,945,1276,1055,68135,1019,216,653,937,151,149,45,75,18,308,788,666,198,561,192,1,3088,76,185,1268
5/21/20,991,593,579,356,139,1590,254,147,169,328,945,1276,1063,68135,1019,216,653,937,151,149,45,75,18,308,788,666,198,561,192,1,3119,76,185,1268
5/22/20,991,593,579,356,139,1591,254,147,169,328,945,1276,1065,68135,1019,217,653,937,154,149,45,75,18,308,788,667,198,563,192,1,3154,76,185,1268
5/23/20,991,593,579,356,139,1592,254,147,169,328,945,1276,1065,68135,1019,217,653,937,155,149,45,75,18,308,788,668,198,563,192,1,3182,76,185,1268
5/24/20,991,593,579,356,139,1592,254,147,169,328,945,1276,1065,68135,1019,227,653,937,155,149,45,75,18,308,788,668,198,564,192,1,3218,76,185,1268
5/25/20,991,593,579,357,139,1592,254,147,169,328,945,1276,1065,68135,1019,232,653,937,155,149,45,75,18,308,788,669,198,564,192,1,3258,76,185,1268
5/26/20,991,593,579,357,139,1592,254,147,169,328,945,1276,1065,68135,1019,232,653,937,155,149,45,75,18,308,788,670,198,564,192,1,3287,76,185,1268
5/27/20,991,593,579,358,139,1592,254,147,169,328,945,1276,1066,68135,1019,232,653,937,155,149,45,75,18,308,788,671,198,564,192,1,3315,76,185,1268
5/28/20,991,593,579,358,139,1592,254,147,169,328,945,1276,1066,68135,1019,232,653,937,155,149,45,75,18,308,788,671,198,564,192,1,3338,76,185,1268
5/29/20,991,593,579,358,139,1593,254,147,169,328,945,1276,1079,68135,1019,232,653,937,155,149,45,75,18,308,790,672,198,564,192,1,3343,76,185,1268
5/30/20,991,593,579,358,139,1593,254,147,169,328,945,1276,1082,68135,1019,232,653,937,155,149,45,75,18,308,792,672,198,564,192,1,3347,76,185,1268
5/31/20,991,593,579,358,139,1595,254,147,169,328,945,1276,1084,68135,1019,235,653,937,155,149,45,75,18,308,792,672,198,575,192,1,3350,76,185,1268
6/1/20,991,593,579,358,139,1596,254,147,169,328,945,1276,1087,68135,1019,235,653,937,155,149,45,75,18,309,792,673,198,577,192,1,3366,76,185,1268
6/2/20,991,593,579,358,139,1597,254,147,169,328,945,1276,1093,68135,1019,235,653,937,155,149,45,75,18,309,792,673,198,577,192,1,3374,76,185,1268
6/3/20,991,594,579,358,139,1598,254,147,169,328,947,1276,1093,68135,1019,235,653,932,155,149,45,75,18,309,792,673,198,577,192,1,3378,76,185,1268
6/4/20,991,594,579,358,139,1598,254,147,169,328,947,1276,1099,68135,1019,235,653,932,155,149,45,75,18,309,792,677,198,578,192,1,3382,76,185,1268
6/5/20,991,594,579,358,139,1601,254,147,169,328,947,1276,1102,68135,1019,235,653,932,155,149,45,75,18,309,792,677,198,578,192,1,3384,76,185,1268
6/6/20,991,594,579,359,139,1602,254,147,170,328,947,1276,1105,68135,1019,235,653,932,155,149,45,75,18,311,792,677,198,578,193,1,3386,76,185,1268
6/7/20,991,594,579,359,139,1602,254,147,170,328,947,1276,1106,68135,1019,235,653,932,155,149,45,75,18,311,792,678,198,581,193,1,3390,76,185,1268
6/8/20,991,594,579,359,139,1604,254,147,170,328,947,1276,1107,68135,1019,235,653,932,155,149,45,75,18,311,792,678,198,582,193,1,3392,76,185,1268
6/9/20,991,594,579,359,139,1604,254,147,170,328,947,1276,1107,68135,1019,237,653,932,155,149,45,75,18,311,792,678,198,582,194,1,3412,76,185,1268
